,name,party,photoUrl,office,office_city,state,phone_number,website,email,twitter,facebook
266,Elissa Slotkin,Democratic Party,,U.S. Representative,Washington,Michigan,(202) 225-4872,https://slotkin.house.gov/,,RepSlotkin,RepElissaSlotkin
267,Dan Kildee,Democratic Party,http://bioguide.congress.gov/bioguide/photo/K/K000380.jpg,U.S. Representative,Washington,Michigan,(202) 225-3611,https://dankildee.house.gov/,,RepDanKildee,RepDanKildee
268,Fred Upton,Republican Party,http://bioguide.congress.gov/bioguide/photo/U/U000031.jpg,U.S. Representative,Washington,Michigan,(202) 225-3761,https://upton.house.gov/,,RepFredUpton,RepFredUpton
269,Peter Meijer,Republican Party,,U.S. Representative,Washington,Michigan,(202) 225-3831,https://meijer.house.gov/,,RepMeijer,RepPeterMeijer
270,John Moolenaar,Republican Party,http://bioguide.congress.gov/bioguide/photo/M/M001194.jpg,U.S. Representative,Washington,Michigan,(202) 225-3561,https://moolenaar.house.gov/,,RepMoolenaar,RepMoolenaar
271,Jack Bergman,Republican Party,,U.S. Representative,Washington,Michigan,(202) 225-4735,https://bergman.house.gov/,bergman.constituent@mail.house.gov,RepJackBergman,RepJackBergman
272,Bill Huizenga,Republican Party,http://bioguide.congress.gov/bioguide/photo/H/H001058.jpg,U.S. Representative,Washington,Michigan,(202) 225-4401,https://huizenga.house.gov/,bill.huizenga@mail.house.gov,RepHuizenga,rephuizenga
273,Haley Stevens,Democratic Party,,U.S. Representative,Washington,Michigan,(202) 225-8171,https://stevens.house.gov/,,RepHaleyStevens,RepHaleyStevens
274,Lisa McClain,Republican Party,,U.S. Representative,Washington,Michigan,(202) 225-2106,https://mcclain.house.gov/,,RepLisaMcClain,RepLisaMcClain
275,Brenda Lawrence,Democratic Party,https://lawrence.house.gov/sites/lawrence.house.gov/files/wysiwyg_uploaded/2015-02-23_Lawrence_0012.jpg,U.S. Representative,Washington,Michigan,(202) 225-5802,https://lawrence.house.gov/,,RepLawrence,Rep-Brenda-Lawrence-395759603917487
276,Rashida Tlaib,Democratic Party,,U.S. Representative,Washington,Michigan,(202) 225-5126,https://tlaib.house.gov/,,RepRashida,RepRashida
277,Debbie Dingell,Democratic Party,https://www.congress.gov/img/member/114_rp_mi_12_dingell_debbie_200.jpg,U.S. Representative,Washington,Michigan,(202) 225-4071,https://debbiedingell.house.gov/,,RepDebDingell,RepDebbieDingell
278,Gretchen Whitmer,Democratic Party,https://www.michigan.gov/images/whitmer/IMG_7291-lowres_723041_7.png,Governor of Michigan,,Michigan,(517) 373-3400,https://www.michigan.gov/whitmer,,GovWhitmer,GovGretchenWhitmer
279,Amy Klobuchar,Democratic Party,http://bioguide.congress.gov/bioguide/photo/K/K000367.jpg,U.S. Senator,Washington,Minnesota,(202) 224-3244,https://www.klobuchar.senate.gov/,,amyklobuchar,amyklobuchar
280,Tina Smith,Democratic Party,https://mn.gov/governor/assets/press_smith-2015_tcm1055-154819.jpg,U.S. Senator,Washington,Minnesota,(202) 224-5641,https://www.smith.senate.gov/,,SenTinaSmith,USSenTinaSmith
281,Angie Craig,Democratic Party,,U.S. Representative,Washington,Minnesota,(202) 225-2271,https://craig.house.gov/,,RepAngieCraig,RepAngieCraig
282,Dean Phillips,Democratic Party,,U.S. Representative,Washington,Minnesota,(202) 225-2871,https://phillips.house.gov/,,RepDeanPhillips,RepDeanPhillips
283,Jim Hagedorn,Republican Party,,U.S. Representative,Washington,Minnesota,(202) 225-2472,https://hagedorn.house.gov/,,RepHagedorn,RepHagedorn
284,Pete Stauber,Republican Party,,U.S. Representative,Washington,Minnesota,(202) 225-6211,https://stauber.house.gov/,,RepPeteStauber,RepPeteStauber
285,Tom Emmer,Republican Party,https://www.congress.gov/img/member/114_rp_mn_6_emmer_tom_200.jpg,U.S. Representative,Washington,Minnesota,(202) 225-2331,https://emmer.house.gov/,,RepTomEmmer,reptomemmer
286,Michelle Fischbach,Republican Party,,U.S. Representative,Washington,Minnesota,(202) 225-2165,https://fischbach.house.gov/,,RepFischbach,RepFischbach
287,Betty McCollum,Democratic Party,http://bioguide.congress.gov/bioguide/photo/m/m001143.jpg,U.S. Representative,Washington,Minnesota,(202) 225-6631,https://mccollum.house.gov/,,BettyMcCollum04,repbettymccollum
288,Ilhan Omar,Democratic Party,,U.S. Representative,Washington,Minnesota,(202) 225-4755,https://omar.house.gov/,,Ilhan,RepIlhan
289,Tim Walz,Democratic-Farmer-Labor Party,https://mn.gov/governor/assets/Tim%20Walz-bio_tcm1055-418597.png,Governor of Minnesota,Saint Paul,Minnesota,(651) 201-3400,https://mn.gov/governor/,,GovTimWalz,GovTimWalz
290,Cindy Hyde-Smith,Republican Party,https://bioguide.congress.gov/bioguide/photo/H/H001079.jpg,U.S. Senator,Washington,Mississippi,(202) 224-5054,https://www.hydesmith.senate.gov/,,senhydesmith,SenatorCindyHydeSmith
291,Roger F. Wicker,Republican Party,http://bioguide.congress.gov/bioguide/photo/W/W000437.jpg,U.S. Senator,Washington,Mississippi,(202) 224-6253,https://www.wicker.senate.gov/,,SenatorWicker,SenatorWicker
292,Michael Guest,Republican Party,,U.S. Representative,Washington,Mississippi,(202) 225-5031,https://guest.house.gov/,,RepMichaelGuest,RepMichaelGuest
293,Steven Palazzo,Republican Party,http://bioguide.congress.gov/bioguide/photo/P/P000601.jpg,U.S. Representative,Washington,Mississippi,(202) 225-5772,https://palazzo.house.gov/,,congpalazzo,stevenpalazzo
294,Trent Kelly,Republican Party,https://trentkelly.house.gov/UploadedPhotos/LowResolution/f762b882-1849-438c-8827-52f5f3ecb988.png,U.S. Representative,Washington,Mississippi,(202) 225-4306,https://trentkelly.house.gov/,,reptrentkelly,RepTrentKelly
295,Bennie G. Thompson,Democratic Party,http://bioguide.congress.gov/bioguide/photo/t/t000193.jpg,U.S. Representative,Washington,Mississippi,(202) 225-5876,https://benniethompson.house.gov/,,benniegthompson,CongressmanBennieGThompson
296,Tate Reeves,Republican Party,http://www.ltgovreeves.ms.gov/Style%20Library/assets/images/header.jpg,Governor of Mississippi,Jackson,Mississippi,(601) 359-3150,https://governorreeves.ms.gov/,governor@govreeves.ms.gov,tatereeves,tatereeves
297,Roy Blunt,Republican Party,http://bioguide.congress.gov/bioguide/photo/B/B000575.jpg,U.S. Senator,Washington,Missouri,(202) 224-5721,https://www.blunt.senate.gov/,,RoyBlunt,SenatorBlunt
298,Josh Hawley,Republican Party,https://upload.wikimedia.org/wikipedia/commons/3/31/Josh_Hawley%2C_official_portrait%2C_116th_congress.jpg,U.S. Senator,Washington,Missouri,(202) 224-6154,https://www.hawley.senate.gov/,senator@hawley.senate.gov,SenHawleyPress,SenatorHawley
299,Jason Smith,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S001195.jpg,U.S. Representative,Washington,Missouri,(202) 225-4404,https://jasonsmith.house.gov/,,RepJasonSmith,repjasonsmith
300,Billy Long,Republican Party,http://bioguide.congress.gov/bioguide/photo/L/L000576.jpg,U.S. Representative,Washington,Missouri,(202) 225-6536,https://long.house.gov/,,USRepLong,Rep.Billy.Long
301,Sam Graves,Republican Party,https://graves.house.gov/sites/graves.house.gov/files/documents/Rep_Graves_Photo.JPG,U.S. Representative,Washington,Missouri,(202) 225-7041,https://graves.house.gov/,mo06ima@mail.house.gov,RepSamGraves,RepSamGraves
302,Emanuel Cleaver,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001061.jpg,U.S. Representative,Washington,Missouri,(202) 225-4535,https://cleaver.house.gov/,,repcleaver,emanuelcleaverii
303,Vicky Hartzler,Republican Party,http://bioguide.congress.gov/bioguide/photo/H/H001053.jpg,U.S. Representative,Washington,Missouri,(202) 225-2876,https://hartzler.house.gov/,,RepHartzler,Congresswoman.Hartzler
304,Blaine Luetkemeyer,Republican Party,http://bioguide.congress.gov/bioguide/photo/L/L000569.jpg,U.S. Representative,Washington,Missouri,(202) 225-2956,https://luetkemeyer.house.gov/,,RepBlaine,BlaineLuetkemeyer
305,Ann Wagner,Republican Party,http://bioguide.congress.gov/bioguide/photo/W/W000812.jpg,U.S. Representative,Washington,Missouri,(202) 225-1621,https://wagner.house.gov/,,RepAnnWagner,RepAnnWagner
306,Cori Bush,Democratic Party,,U.S. Representative,Washington,Missouri,(202) 225-2406,https://bush.house.gov/,,RepCori,RepCori
307,Michael L. Parson,Republican Party,https://ltgov.mo.gov/wp-content/uploads/2017/01/Parson-headshot.jpg,Governor of Missouri,Jefferson City,Missouri,(573) 751-3222,https://governor.mo.gov/,ltgovinfo@ltgov.mo.gov,GovParsonMO,GovMikeParson
308,Steve Daines,Republican Party,http://bioguide.congress.gov/bioguide/photo/D/D000618.jpg,U.S. Senator,Washington,Montana,(202) 224-2651,https://www.daines.senate.gov/,,SteveDaines,SteveDainesMT
309,Jon Tester,Democratic Party,http://bioguide.congress.gov/bioguide/photo/T/T000464.jpg,U.S. Senator,Washington,Montana,(202) 224-2644,https://www.tester.senate.gov/,,senatortester,senatortester
310,Matt Rosendale,Republican Party,,U.S. Representative,Washington,Montana,(202) 225-3211,https://rosendale.house.gov/,,RepRosendale,RepRosendale
311,Greg Gianforte,Republican Party,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/444px-Greg_Gianforte.jpg,Governor of Montana,,Montana,(406) 444-3111,https://governor.mt.gov/,,GovGianforte,GovGianforte
312,Ben Sasse,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S001197.jpg,U.S. Senator,Washington,Nebraska,(202) 224-4224,https://www.sasse.senate.gov/,,SenSasse,SenatorSasse
313,Deb Fischer,Republican Party,http://bioguide.congress.gov/bioguide/photo/F/F000463.jpg,U.S. Senator,Washington,Nebraska,(202) 224-6551,https://www.fischer.senate.gov/,,SenatorFischer,senatordebfischer
314,Jeff Fortenberry,Republican Party,http://bioguide.congress.gov/bioguide/photo/F/F000449.jpg,U.S. Representative,Washington,Nebraska,(202) 225-4806,https://fortenberry.house.gov/,,JeffFortenberry,jefffortenberry
315,Adrian Smith,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S001172.jpg,U.S. Representative,Washington,Nebraska,(202) 225-6435,https://adriansmith.house.gov/,,RepAdrianSmith,RepAdrianSmith
316,Don Bacon,Republican Party,https://bacon.house.gov/sites/bacon.house.gov/files/documents/Don%20Bacon%20Official%20Photo.jpg,U.S. Representative,Washington,Nebraska,(202) 225-4155,https://bacon.house.gov/,,RepDonBacon,RepDonBacon
317,Pete Ricketts,Republican Party,https://governor.nebraska.gov/sites/governor.nebraska.gov/files/gov-headshot_0.jpg,Governor of Nebraska,Lincoln,Nebraska,(402) 471-2244,https://governor.nebraska.gov/,,GovRicketts,GovernorPeteRicketts
318,Catherine Cortez Masto,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001113.jpg,U.S. Senator,Washington,Nevada,(202) 224-3542,https://www.cortezmasto.senate.gov/,,SenCortezMasto,SenatorCortezMasto
319,Jacky Rosen,Democratic Party,https://bioguide.congress.gov/bioguide/photo/R/R000608.jpg,U.S. Senator,Washington,Nevada,(202) 224-6244,https://www.rosen.senate.gov/,,senjackyrosen,SenJackyRosen
320,Steven Horsford,Democratic Party,,U.S. Representative,Washington,Nevada,(202) 225-9894,https://horsford.house.gov/,,RepHorsford,RepHorsford
321,Susie Lee,Democratic Party,,U.S. Representative,Washington,Nevada,(202) 225-3252,https://susielee.house.gov/,,RepSusieLee,RepSusieLee
322,Mark Amodei,Republican Party,http://bioguide.congress.gov/bioguide/photo/A/A000369.jpg,U.S. Representative,Washington,Nevada,(202) 225-6155,https://amodei.house.gov/,,markamodeinv2,MarkAmodeiNV2
323,Dina Titus,Democratic Party,http://bioguide.congress.gov/bioguide/photo/T/T000468.jpg,U.S. Representative,Washington,Nevada,(202) 225-5965,https://titus.house.gov/,,repdinatitus,CongresswomanTitus
324,Steve Sisolak,Democratic Party,https://knpr.org/sites/default/files/public/styles/detail_small/public/images/story/steve-sisolak_headshot_0.jpg?itok=8jYKjuMw,Governor of Nevada,Carson City,Nevada,(775) 684-5670,http://gov.nv.gov/,,GovSisolak,GovSisolak
325,Jeanne Shaheen,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001181.jpg,U.S. Senator,Washington,New Hampshire,(202) 224-2841,https://www.shaheen.senate.gov/,,SenatorShaheen,SenatorShaheen
326,Margaret Wood Hassan,Democratic Party,https://www.hassan.senate.gov/sites/default/files/Maggie-Hassan-Official-Port.jpg,U.S. Senator,Washington,New Hampshire,(202) 224-3324,https://www.hassan.senate.gov/,,SenatorHassan,SenatorHassan
327,Ann Kuster,Democratic Party,http://bioguide.congress.gov/bioguide/photo/K/K000382.jpg,U.S. Representative,Washington,New Hampshire,(202) 225-5206,https://kuster.house.gov/,,RepAnnieKuster,CongresswomanAnnieKuster
328,Chris Pappas,Democratic Party,,U.S. Representative,Washington,New Hampshire,(202) 225-5456,https://pappas.house.gov/,,RepChrisPappas,RepChrisPappas
329,Chris Sununu,Republican Party,http://www.governor.nh.gov/graphics/sununu.jpg,Governor of New Hampshire,Concord,New Hampshire,(603) 271-2121,https://www.governor.nh.gov/,governorsununu@nh.gov,GovChrisSununu,GovernorChrisSununu
330,Robert Menendez,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M000639.jpg,U.S. Senator,Washington,New Jersey,(202) 224-4744,https://www.menendez.senate.gov/,,SenatorMenendez,senatormenendez
331,Cory A. Booker,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001288.jpg,U.S. Senator,Washington,New Jersey,(202) 224-3224,https://www.booker.senate.gov/,,senbooker,SenatorCoryBooker
332,Bonnie Watson Coleman,Democratic Party,http://bioguide.congress.gov/bioguide/photo/W/W000822.jpg,U.S. Representative,Washington,New Jersey,(202) 225-5801,https://watsoncoleman.house.gov/,,RepBonnie,RepBonnie
333,"Donald M. Payne, Jr.",Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000604.jpg,U.S. Representative,Washington,New Jersey,(202) 225-3436,https://payne.house.gov/,,RepDonaldPayne,DonaldPayneJr
334,Mikie Sherrill,Democratic Party,,U.S. Representative,Washington,New Jersey,(202) 225-5034,https://sherrill.house.gov/,,RepSherrill,RepMikieSherrill
335,Jefferson Van Drew,Republican Party,,U.S. Representative,Washington,New Jersey,(202) 225-6572,https://vandrew.house.gov/,,CongressmanJVD,CongressmanJVD
336,Donald Norcross,Democratic Party,http://bioguide.congress.gov/bioguide/photo/N/N000188.jpg,U.S. Representative,Washington,New Jersey,(202) 225-6501,https://norcross.house.gov/,,DonaldNorcross,DonaldNorcrossNJ
337,Christopher H. Smith,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S000522.jpg,U.S. Representative,Washington,New Jersey,(202) 225-3765,https://chrissmith.house.gov/,,RepChrisSmith,RepChrisSmith
338,Andy Kim,Democratic Party,,U.S. Representative,Washington,New Jersey,(202) 225-4765,https://kim.house.gov/,,RepAndyKimNJ,RepAndyKimNJ
339,"Frank Pallone, Jr.",Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000034.jpg,U.S. Representative,Washington,New Jersey,(202) 225-4671,https://pallone.house.gov/,,frankpallone,RepFrankPallone
340,Josh Gottheimer,Democratic Party,http://gottheimer.house.gov/images/jg-headshot.png,U.S. Representative,Washington,New Jersey,(202) 225-4465,https://gottheimer.house.gov/,,RepJoshG,RepJoshG
341,Albio Sires,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001165.jpg,U.S. Representative,Washington,New Jersey,(202) 225-7919,https://sires.house.gov/,,RepSires,RepAlbioSires
342,Tom Malinowski,Democratic Party,,U.S. Representative,Washington,New Jersey,(202) 225-5361,https://malinowski.house.gov/,,RepMalinowski,RepTomMalinowski
343,"Bill Pascrell, Jr.",Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000096.jpg,U.S. Representative,Washington,New Jersey,(202) 225-5751,https://pascrell.house.gov/,,BillPascrell,pascrell
344,Phil Murphy,Democratic Party,https://nj.gov/governor/assets/images/portraits/GovMurphy-600x750_v2.jpg,Governor of New Jersey,,New Jersey,(609) 292-6000,https://nj.gov/governor/,,GovMurphy,governorphilmurphy
345,Martin Heinrich,Democratic Party,http://bioguide.congress.gov/bioguide/photo/H/H001046.jpg,U.S. Senator,Washington,New Mexico,(202) 224-5521,https://www.heinrich.senate.gov/,,MartinHeinrich,MartinHeinrich
346,Ben Ray Luján,Democratic Party,https://bioguide.congress.gov/bioguide/photo/L/L000570.jpg,U.S. Senator,Washington,New Mexico,(202) 224-6621,https://www.lujan.senate.gov/,,SenatorLujan,SenatorLujan
347,VACANT,Unknown,,U.S. Representative,,New Mexico,,,,,
348,Teresa Leger Fernandez,Democratic Party,,U.S. Representative,Washington,New Mexico,(202) 225-6190,https://fernandez.house.gov/,,RepTeresaLF,RepTeresaLF
349,Yvette Herrell,Republican Party,,U.S. Representative,Washington,New Mexico,(202) 225-2365,https://herrell.house.gov/,,RepHerrell,RepHerrell
350,Michelle Lujan Grisham,Democratic Party,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Michelle_Lujan_Grisham_official_photo.jpg/1024px-Michelle_Lujan_Grisham_official_photo.jpg,Governor of New Mexico,Santa Fe,New Mexico,(505) 476-2200,https://www.governor.state.nm.us/,,GovMLG,GovMLG
351,Kirsten E. Gillibrand,Democratic Party,http://bioguide.congress.gov/bioguide/photo/G/G000555.jpg,U.S. Senator,Washington,New York,(202) 224-4451,https://www.gillibrand.senate.gov/,,SenGillibrand,KirstenGillibrand
352,Charles E. Schumer,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S000148.jpg,U.S. Senator,Washington,New York,(202) 224-6542,https://www.schumer.senate.gov/,,SenSchumer,senschumer
353,Nydia M. Velázquez,Democratic Party,http://bioguide.congress.gov/bioguide/photo/V/V000081.jpg,U.S. Representative,Washington,New York,(202) 225-2361,https://velazquez.house.gov/,,NydiaVelazquez,RepNydiaVelazquez
354,Grace Meng,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M001188.jpg,U.S. Representative,Washington,New York,(202) 225-2601,https://meng.house.gov/,,RepGraceMeng,repgracemeng
355,Yvette D. Clarke,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001067.jpg,U.S. Representative,Washington,New York,(202) 225-6231,https://clarke.house.gov/,,repyvetteclarke,repyvetteclarke
356,Hakeem Jeffries,Democratic Party,http://bioguide.congress.gov/bioguide/photo/J/J000294.jpg,U.S. Representative,Washington,New York,(202) 225-5936,https://jeffries.house.gov/,,RepJeffries,RepHakeemJeffries
357,Lee Zeldin,Republican Party,https://zeldin.house.gov/sites/zeldin.house.gov/files/styles/congress_featured_image/public/featured_image/Rep.%20Zeldin%20official%20headshot.jpg?itok=nuQJT2xS,U.S. Representative,Washington,New York,(202) 225-3826,https://zeldin.house.gov/,,RepLeeZeldin,RepLeeZeldin
358,Thomas Suozzi,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-3335,https://suozzi.house.gov/,,RepTomSuozzi,RepTomSuozzi
359,Andrew R. Garbarino,Republican Party,,U.S. Representative,Washington,New York,(202) 225-7896,https://garbarino.house.gov/,,RepGarbarino,RepAndrewGarbarino
360,Gregory W. Meeks,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M001137.jpg,U.S. Representative,Washington,New York,(202) 225-3461,https://meeks.house.gov/,,GregoryMeeks,gregorymeeksny05
361,Kathleen Rice,Democratic Party,https://www.congress.gov/img/member/114_rp_ny_4_rice_kathleen_200.jpg,U.S. Representative,Washington,New York,(202) 225-5516,https://kathleenrice.house.gov/,,RepKathleenRice,RepKathleenRice
362,Mondaire Jones,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-6506,https://jones.house.gov/,,RepMondaire,repmondaire
363,Sean Patrick Maloney,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M001185.jpg,U.S. Representative,Washington,New York,(202) 225-5441,https://seanmaloney.house.gov/,,RepSeanMaloney,repseanmaloney
364,Antonio Delgado,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-5614,https://delgado.house.gov/,,repdelgado,RepAntonioDelgado
365,Adriano Espaillat,Democratic Party,http://bioguide.congress.gov/bioguide/photo/E/E000297.jpg,U.S. Representative,Washington,New York,(202) 225-4365,https://espaillat.house.gov/,,RepEspaillat,RepEspaillat
366,Alexandria Ocasio-Cortez,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-3965,https://ocasio-cortez.house.gov/,,RepAOC,repAOC
367,Ritchie Torres,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-4361,https://ritchietorres.house.gov/,,,
368,Jamaal Bowman,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-2464,https://bowman.house.gov/,,RepBowman,
369,Jerrold Nadler,Democratic Party,http://bioguide.congress.gov/bioguide/photo/N/N000002.jpg,U.S. Representative,Washington,New York,(202) 225-5635,http://nadler.house.gov/,,RepJerryNadler,CongressmanNadler
370,Nicole Malliotakis,Republican Party,,U.S. Representative,Washington,New York,(202) 225-3371,https://malliotakis.house.gov/,,RepMalliotakis,RepMalliotakis
371,Carolyn Maloney,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M000087.jpg,U.S. Representative,Washington,New York,(202) 225-7944,https://maloney.house.gov/,,RepMaloney,RepCarolynMaloney
372,John Katko,Republican Party,https://www.congress.gov/img/member/114_rp_ny_24_katko_john_200.jpg,U.S. Representative,Washington,New York,(202) 225-3701,https://katko.house.gov/,,RepJohnKatko,RepJohnKatko
373,Joseph Morelle,Democratic Party,,U.S. Representative,Washington,New York,(202) 225-3615,https://morelle.house.gov/,,repjoemorelle,RepJoeMorelle
374,Brian Higgins,Democratic Party,http://bioguide.congress.gov/bioguide/photo/H/H001038.jpg,U.S. Representative,Washington,New York,(202) 225-3306,https://higgins.house.gov/,,RepBrianHiggins,RepBrianHiggins
375,Chris Jacobs,Republican Party,,U.S. Representative,Washington,New York,(202) 225-5265,https://jacobs.house.gov/,,JacobsforSenate,SenatorChrisJacobs
376,Paul D. Tonko,Democratic Party,http://bioguide.congress.gov/bioguide/photo/T/T000469.jpg,U.S. Representative,Washington,New York,(202) 225-5076,https://tonko.house.gov/,,reppaultonko,reppaultonko
377,Elise Stefanik,Republican Party,https://stefanik.house.gov/sites/stefanik.house.gov/files/styles/congress_featured_image/public/featured_image/Official%20Portrait2.jpg?itok=PZHfIV-u,U.S. Representative,Washington,New York,(202) 225-4611,https://stefanik.house.gov/,,RepStefanik,RepEliseStefanik
378,Claudia Tenney,Republican Party,,U.S. Representative,Washington,New York,(202) 225-3665,https://tenney.house.gov/,,ClaudiaForNY22,RepClaudiaTenney
379,Tom Reed,Republican Party,http://bioguide.congress.gov/bioguide/photo/R/R000585.jpg,U.S. Representative,Washington,New York,(202) 225-3161,https://reed.house.gov/,,RepTomReed,RepTomReed
380,Andrew M. Cuomo,Democratic Party,https://www.governor.ny.gov/sites/governor.ny.gov/files/styles/slideshow/public/thumbnails/image/TerrorGap_StatueLiberty_NYC_Governor.jpg?itok=8ogO452b,Governor of New York,Albany,New York,(518) 474-8390,https://www.governor.ny.gov/,,nygovcuomo,GovernorAndrewCuomo
381,Thom Tillis,Republican Party,http://bioguide.congress.gov/bioguide/photo/T/T000476.jpg,U.S. Senator,Washington,North Carolina,(202) 224-6342,https://www.tillis.senate.gov/,,SenThomTillis,SenatorThomTillis
382,Richard Burr,Republican Party,http://bioguide.congress.gov/bioguide/photo/B/B001135.jpg,U.S. Senator,Washington,North Carolina,(202) 224-3154,https://www.burr.senate.gov/,,senatorburr,SenatorRichardBurr
383,Patrick T. McHenry,Republican Party,http://bioguide.congress.gov/bioguide/photo/M/M001156.jpg,U.S. Representative,Washington,North Carolina,(202) 225-2576,https://mchenry.house.gov/,,PatrickMcHenry,CongressmanMcHenry
384,Ted Budd,Republican Party,http://bioguide.congress.gov/bioguide/photo/B/B001305.jpg,U.S. Representative,Washington,North Carolina,(202) 225-4531,https://budd.house.gov/,,RepTedBudd,RepTedBudd
385,Alma Adams,Democratic Party,https://www.congress.gov/img/member/114_rp_nc_12_adams_alma_200.jpg,U.S. Representative,Washington,North Carolina,(202) 225-1510,https://adams.house.gov/,,RepAdams,CongresswomanAdams
386,Madison Cawthorn,Republican Party,,U.S. Representative,,North Carolina,,,,,
387,David Rouzer,Republican Party,https://www.congress.gov/img/member/114_rp_nc_7_rouzer_david_200.jpg,U.S. Representative,Washington,North Carolina,(202) 225-2731,https://rouzer.house.gov/,David.Rouzer@ncleg.net,RepDavidRouzer,RepRouzer
388,Kathy Manning,Democratic Party,,U.S. Representative,,North Carolina,,,,KathyManningNC,
389,Virginia Foxx,Republican Party,http://bioguide.congress.gov/bioguide/photo/f/f000450.jpg,U.S. Representative,Washington,North Carolina,(202) 225-2071,https://foxx.house.gov/,,virginiafoxx,RepVirginiaFoxx
390,David Price,Democratic Party,http://price.house.gov//images/user_images/price_portrait.jpg,U.S. Representative,Washington,North Carolina,(202) 225-1784,https://price.house.gov/,,RepDavidEPrice,RepDavidEPrice
391,Gregory Francis Murphy,Republican Party,,U.S. Representative,Washington,North Carolina,(202) 225-3415,https://gregmurphy.house.gov/,,RepGregMurphy,RepGregMurphy
392,Deborah K. Ross,Democratic Party,,U.S. Representative,,North Carolina,,,,,
393,G. K. Butterfield,Democratic Party,http://bioguide.congress.gov/bioguide/photo/b/b001251.jpg,U.S. Representative,Washington,North Carolina,(202) 225-3101,https://butterfield.house.gov/,,gkbutterfield,congressmangkbutterfield
394,Dan Bishop,Republican Party,,U.S. Representative,Washington,North Carolina,(202) 225-1976,https://danbishop.house.gov/,,RepDanBishop,repdanbishop
395,Richard Hudson,Republican Party,http://bioguide.congress.gov/bioguide/photo/H/H001067.jpg,U.S. Representative,Washington,North Carolina,(202) 225-3715,https://hudson.house.gov/,,RepRichHudson,RepRichHudson
396,Roy Cooper,Democratic Party,http://governor-new.s3.amazonaws.com/s3fs-public/cooper-family-1024x683.jpg,Governor of North Carolina,Raleigh,North Carolina,(919) 814-2000,https://governor.nc.gov/,roy.cooper@nc.gov,NC_Governor,NCgovernor
397,John Hoeven,Republican Party,http://bioguide.congress.gov/bioguide/photo/H/H001061.jpg,U.S. Senator,Washington,North Dakota,(202) 224-2551,https://www.hoeven.senate.gov/,,SenJohnHoeven,SenatorJohnHoeven
398,Kevin Cramer,Republican Party,http://bioguide.congress.gov/bioguide/photo/C/C001096.jpg,U.S. Senator,Washington,North Dakota,(202) 224-2043,https://www.cramer.senate.gov/,,SenKevinCramer,SenatorKevinCramer
399,Kelly Armstrong,Republican Party,,U.S. Representative,Washington,North Dakota,(202) 225-2611,https://armstrong.house.gov/,,RepArmstrongND,RepArmstrongND
400,Doug Burgum,Republican Party,https://www.governor.nd.gov/sites/governor/files/award/burgum-bio.jpg,Governor of North Dakota,Bismarck,North Dakota,(701) 328-2200,https://www.governor.nd.gov/governor-doug-burgum,,DougBurgum,GovernorDougBurgum
401,Sherrod Brown,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B000944.jpg,U.S. Senator,Washington,Ohio,(202) 224-2315,https://www.brown.senate.gov/,,SenSherrodBrown,SenatorSherrodBrown
402,Rob Portman,Republican Party,http://bioguide.congress.gov/bioguide/photo/P/P000449.jpg,U.S. Senator,Washington,Ohio,(202) 224-3353,https://www.portman.senate.gov/,,senrobportman,senrobportman
403,Steve Chabot,Republican Party,http://bioguide.congress.gov/bioguide/photo/C/C000266.jpg,U.S. Representative,Washington,Ohio,(202) 225-2216,https://chabot.house.gov/,,repstevechabot,RepSteveChabot
404,Joyce Beatty,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001281.jpg,U.S. Representative,Washington,Ohio,(202) 225-4324,https://beatty.house.gov/,,RepBeatty,RepJoyceBeatty
